symbol,transition,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
AAVE,Blow-off rally / parabolic → Bull impulse,2,0.13466791864727035,0.08284743490103263,0.07328523092266391,1.0,1.8375860586341342
DOGE,Blow-off rally / parabolic → Bull impulse,13,0.05876860700997806,0.03479575082169717,0.09680941703149509,0.7692307692307693,0.607054652450379
ADA,Blow-off rally / parabolic → Bull impulse,5,0.05488939502495686,0.0029085323724356016,0.09034844319489606,0.6,0.6075300590022524
ETH,Blow-off rally / parabolic → Bull impulse,8,0.05306813272146613,0.015263346705125969,0.05482110110776678,0.875,0.9680238384330391
CRO,Blow-off rally / parabolic → Bull impulse,4,0.05033704580277065,0.05556209266140266,0.09880360932530685,0.75,0.509465657646554
EOS,Blow-off rally / parabolic → Bull impulse,6,0.023831056862143467,0.004924928910639892,0.1247833167420054,0.6666666666666666,0.19097951139906907
XRP,Blow-off rally / parabolic → Bull impulse,16,0.01253675430995518,-0.009298044286839335,0.10051519054717428,0.375,0.12472497183469368
LTC,Blow-off rally / parabolic → Bull impulse,9,-9.222063685045226E-4,-0.0342512777071482,0.05799109254364968,0.4444444444444444,-0.015902552065394895
BNB,Blow-off rally / parabolic → Bull impulse,4,-0.0021196279636412005,-0.05864911330024469,0.10783940791129512,0.25,-0.0196554117339436
MIOTA,Blow-off rally / parabolic → Bull impulse,2,-0.0044546404544682505,-0.05068870840246864,0.06538484593574137,0.5,-0.06812955495599336
XLM,Blow-off rally / parabolic → Bull impulse,10,-0.005005997297493481,-0.07855601098002352,0.1390412696036992,0.4,-0.036003679423826956
XMR,Blow-off rally / parabolic → Bull impulse,8,-0.009444495148064835,-0.07068753356314517,0.11058824733834015,0.375,-0.08540234044192593
TRX,Blow-off rally / parabolic → Bull impulse,2,-0.009509182531729943,-0.0466750352751073,0.05256045300684556,0.5,-0.18091896069638996
XEM,Blow-off rally / parabolic → Bull impulse,10,-0.022743094497566972,-0.04646080234712269,0.10444748120338088,0.4,-0.21774670136162935
LINK,Blow-off rally / parabolic → Bull impulse,6,-0.033791691406550334,-0.0359757991605103,0.0706401245563099,0.3333333333333333,-0.478363983908518
SOL,Blow-off rally / parabolic → Bull impulse,3,-0.034855955639643645,-0.09595404752697001,0.1423935043039017,0.3333333333333333,-0.24478613550554046
DOT,Blow-off rally / parabolic → Bull impulse,3,-0.040017558986175907,-0.03587292635219219,0.05371400295806056,0.3333333333333333,-0.7450116688830896
ATOM,Blow-off rally / parabolic → Bull impulse,2,-0.052332261297926674,-0.0596045219394572,0.010284529628364535,0.0,-5.0884447990305075
BTC,Blow-off rally / parabolic → Bull impulse,3,-0.055192532090655,-0.0772262649438904,0.05084534342972643,0.3333333333333333,-1.0854982652823821
SOL,Blow-off rally / parabolic → Calm / normal,3,0.06540252654195305,0.11624438909535717,0.08998006085509104,0.6666666666666666,0.7268557713834065
UNI,Blow-off rally / parabolic → Calm / normal,3,0.024924288588325332,0.01699726395851764,0.02221912762601059,1.0,1.1217491977114338
LINK,Blow-off rally / parabolic → Calm / normal,56,0.01386221416572034,0.005354952570574278,0.046868420815975344,0.625,0.29576874843189366
MIOTA,Blow-off rally / parabolic → Calm / normal,64,0.013719327913966226,0.0026803305810354505,0.0419507211615529,0.5625,0.3270343759081727
XMR,Blow-off rally / parabolic → Calm / normal,140,0.012850551744687508,0.011830964015481116,0.0440033967619798,0.6214285714285714,0.2920354493131029
XLM,Blow-off rally / parabolic → Calm / normal,111,0.012765024168694829,0.0034741848352402016,0.04644317336775208,0.5405405405405406,0.2748525400626102
DOT,Blow-off rally / parabolic → Calm / normal,16,0.011653912917339207,-4.920312576994768E-4,0.054114809805701714,0.5,0.2153553335802598
EOS,Blow-off rally / parabolic → Calm / normal,68,0.00916136387976281,0.003809381060656314,0.039237766046952643,0.5735294117647058,0.23348331984038415
ETH,Blow-off rally / parabolic → Calm / normal,149,0.005681816950472828,0.005690920716778791,0.04338499402747409,0.5503355704697986,0.13096272289157737
