Date,Calm / normal,Choppy high-vol sideways,Sell-off / drawdown,Blow-off rally / parabolic,Bull impulse,total_syms,frac_calm,frac_choppy,frac_sello,frac_blowoff,frac_bull
2013-05-12,1,0,1,0,0,2,0.5,0.0,0.5,0.0,0.0
2013-05-13,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-05-14,0,0,2,0,0,2,0.0,0.0,1.0,0.0,0.0
2013-05-15,1,1,0,0,0,2,0.5,0.5,0.0,0.0,0.0
2013-05-16,0,1,0,1,0,2,0.0,0.5,0.0,0.5,0.0
2013-05-17,1,0,0,1,0,2,0.5,0.0,0.0,0.5,0.0
2013-05-18,1,1,0,0,0,2,0.5,0.5,0.0,0.0,0.0
2013-05-19,1,1,0,0,0,2,0.5,0.5,0.0,0.0,0.0
2013-05-20,1,1,0,0,0,2,0.5,0.5,0.0,0.0,0.0
2013-05-21,1,1,0,0,0,2,0.5,0.5,0.0,0.0,0.0
2013-05-22,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-05-23,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-05-24,1,0,0,1,0,2,0.5,0.0,0.0,0.5,0.0
2013-05-25,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-05-26,1,0,0,1,0,2,0.5,0.0,0.0,0.5,0.0
2013-05-27,1,0,1,0,0,2,0.5,0.0,0.5,0.0,0.0
2013-05-28,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-05-29,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-05-30,1,0,1,0,0,2,0.5,0.0,0.5,0.0,0.0
2013-05-31,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-06-01,1,0,1,0,0,2,0.5,0.0,0.5,0.0,0.0
2013-06-02,1,0,1,0,0,2,0.5,0.0,0.5,0.0,0.0
2013-06-03,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-06-04,1,0,0,1,0,2,0.5,0.0,0.0,0.5,0.0
2013-06-05,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-06-06,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
2013-06-07,1,0,1,0,0,2,0.5,0.0,0.5,0.0,0.0
2013-06-08,2,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0
