symbol,regime,n,mean_ret,median_ret,std_ret,hit_rate,sharpe_d
UNI,Blow-off rally / parabolic,39,0.10191242392013519,0.10193271863320352,0.049550961600165665,1.0,2.0567193981517904
SOL,Blow-off rally / parabolic,58,0.10084316415655416,0.09016229651889096,0.04865443268965564,1.0,2.0726408382929167
AAVE,Blow-off rally / parabolic,39,0.09742387823926328,0.0801524818085051,0.04464964961189123,1.0,2.1819628840562513
DOT,Blow-off rally / parabolic,43,0.09109515984704711,0.08216510453216275,0.042395766506120744,1.0,2.1486852899309077
XEM,Blow-off rally / parabolic,290,0.08869701766287039,0.07697975608006957,0.04456949161442814,1.0,1.9900836749539492
LINK,Blow-off rally / parabolic,219,0.08461950067705895,0.07824880496729303,0.03741369848054071,1.0,2.261725093045012
XLM,Blow-off rally / parabolic,315,0.08428387923497037,0.07200661962390864,0.04147516974180597,1.0,2.032152725586419
DOGE,Blow-off rally / parabolic,279,0.0835693952330384,0.06819617944990597,0.04583825308381675,1.0,1.8231365641319057
EOS,Blow-off rally / parabolic,181,0.08354757873473988,0.06989823986235866,0.04040127204349545,1.0,2.067944262863647
TRX,Blow-off rally / parabolic,181,0.08349527450715796,0.07185439662672577,0.03925928350195938,1.0,2.126765112842439
ATOM,Blow-off rally / parabolic,133,0.08130555586712351,0.06899510807970177,0.03912472394182799,1.0,2.0781119373011157
ADA,Blow-off rally / parabolic,210,0.08077176521782208,0.07088432928738841,0.03656538859268272,1.0,2.208967778725746
XRP,Blow-off rally / parabolic,297,0.07939486527551007,0.06817583519489023,0.03802713782870996,1.0,2.087847516506174
MIOTA,Blow-off rally / parabolic,183,0.07889685090484247,0.06742562981134848,0.03548852045307822,1.0,2.2231654038425566
BNB,Blow-off rally / parabolic,201,0.07826556391105194,0.06694646228293388,0.03689711064277833,1.0,2.1211840858972635
XMR,Blow-off rally / parabolic,390,0.07762964412127257,0.06785678319340871,0.03354999964071272,1.0,2.313849327946623
ETH,Blow-off rally / parabolic,343,0.07659285138202843,0.06704246318229856,0.03270485385509052,1.0,2.3419414048262666
LTC,Blow-off rally / parabolic,378,0.07454305900122897,0.0663906756189494,0.03158706121943587,1.0,2.359923846139944
CRO,Blow-off rally / parabolic,128,0.07446982427394046,0.06650658505950258,0.02789798632897141,1.0,2.669361988919081
WBTC,Blow-off rally / parabolic,103,0.0667399902825806,0.06274631249773854,0.022402597441029404,1.0,2.9791184017059176
BTC,Blow-off rally / parabolic,345,0.06262566518897997,0.05880019194966213,0.020651783690266778,1.0,3.032457928488548
SOL,Bull impulse,34,0.11761710236684608,0.12946634703669346,0.06784990321188562,0.9705882352941176,1.7334896116143976
UNI,Bull impulse,13,0.11336006595431784,0.13438006316971007,0.07858164685738629,0.9230769230769231,1.442576867344726
ATOM,Bull impulse,12,0.10915217245194764,0.12869473331273795,0.06494628717071274,0.9166666666666666,1.6806530012260557
DOT,Bull impulse,11,0.10084010725182382,0.1203584002482807,0.08250945807864939,0.8181818181818182,1.2221642172913239
TRX,Bull impulse,46,0.0990518244518905,0.1264279345985937,0.08315908599066581,0.8913043478260869,1.1911124716186583
LINK,Bull impulse,40,0.09890754601836903,0.133015597926609,0.07934819793634691,0.9,1.2465002179093294
EOS,Bull impulse,39,0.09561970490899104,0.11353170610515484,0.0661498399712667,0.8461538461538461,1.4455016814934862
DOGE,Bull impulse,97,0.09386942147526305,0.15557707083411998,0.10362868731405685,0.8144329896907216,0.9058246698694793
MIOTA,Bull impulse,44,0.09237324202541995,0.11282583839730553,0.06533155640630561,0.8863636363636364,1.4139146089056644
XEM,Bull impulse,88,0.09188134092245358,0.10779830557094461,0.08389796997252066,0.8181818181818182,1.0951557105916594
AAVE,Bull impulse,21,0.09149491019725914,0.08735141637778465,0.0791566509093069,0.9047619047619048,1.1558714163145773
ETH,Bull impulse,45,0.09147206325227164,0.11011333250689481,0.06043075044972439,0.9111111111111111,1.5136675048967363
XMR,Bull impulse,45,0.08724012549691396,0.14106481890125977,0.0817473650457579,0.8222222222222222,1.0671918960088989
XLM,Bull impulse,77,0.07634640839001089,0.1099242987763851,0.09309226089298665,0.7662337662337663,0.8201155247241679
BNB,Bull impulse,58,0.0758214552657693,0.11718003820183609,0.1015135150985928,0.7241379310344828,0.746909957675383
XRP,Bull impulse,107,0.07485116879041137,0.11178676869344661,0.08532226434359476,0.794392523364486,0.8772759298673083
LTC,Bull impulse,52,0.06571415270615401,0.08887517717328608,0.07544677827956474,0.7884615384615384,0.8710001169652744
ADA,Bull impulse,42,0.0622971544453702,0.06530458630389502,0.084788296867366,0.7857142857142857,0.7347376553962559
BTC,Bull impulse,13,0.06177205966018938,0.07657392332204882,0.03597908813589548,0.9230769230769231,1.7168878607170943
CRO,Bull impulse,16,0.05477287139013094,0.05556209266140266,0.08451877294141422,0.8125,0.6480556861384842
DOT,Calm / normal,85,8.243739247917012E-4,-0.0013686235231828991,0.02055263162079161,0.4588235294117647,0.040110382942773214
BTC,Calm / normal,2294,5.85335907306657E-4,0.001085921638152243,0.018560555398678753,0.5287707061900611,0.0315365512902876
WBTC,Calm / normal,679,3.95937774003187E-4,8.57490883802825E-4,0.01906691018279876,0.524300441826215,0.020765701952085703
BNB,Calm / normal,660,-4.8466884493581565E-4,-0.0011503956025173956,0.020825397368926437,0.47575757575757577,-0.023272969843014364
TRX,Calm / normal,522,-5.233093487309099E-4,2.7492648143301324E-4,0.019542404552563574,0.5114942528735632,-0.02677814530567899
XMR,Calm / normal,1048,-5.808864900763592E-4,-2.2715871312439795E-4,0.021106453488013845,0.49713740458015265,-0.02752174781074609
CRO,Calm / normal,494,-8.045415112158585E-4,3.016004325480104E-4,0.02031081491412447,0.5080971659919028,-0.03961148356762226
ETH,Calm / normal,1026,-0.001053312253730242,-0.001354434292327511,0.01965489726930854,0.4756335282651072,-0.05359032099216347
AAVE,Calm / normal,22,-0.0011326530903232072,0.0015998962797070249,0.02163315928693027,0.5454545454545454,-0.05235726669878969
EOS,Calm / normal,552,-0.001226844869659788,-0.001082558821457802,0.017647363348456454,0.483695652173913,-0.06952000961475614
ATOM,Calm / normal,255,-0.0012333697479968253,-0.0013551833292655413,0.022612352056692958,0.47843137254901963,-0.054544071528010905
MIOTA,Calm / normal,537,-0.0015740801206936283,-0.0024848634559100358,0.020992437103724587,0.45623836126629425,-0.07498320051721612
LTC,Calm / normal,1690,-0.0016597341039309775,-0.0012804718741898924,0.01880583229588105,0.4650887573964497,-0.08825634929726035
XEM,Calm / normal,768,-0.0016922277727388923,-7.645174606603078E-4,0.020355830378105694,0.48828125,-0.08313233807248743
