transition,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
Calm / normal → Bull impulse,5,0.12788102003280125,0.12194444508392,0.03182301353442384,1.0,4.018507546259526
Bull impulse → Blow-off rally / parabolic,1,0.12169844096592675,0.12169844096592675,,1.0,
Bull impulse → Calm / normal,5,0.04044178004509393,0.045416120358946266,0.10373206936794457,0.6,0.38986766861503785
Choppy high-vol sideways → Bull impulse,184,0.02005478854692664,-0.005943063985260455,0.09991873178353611,0.4782608695652174,0.20071099971898487
Bull impulse → Sell-off / drawdown,75,0.01729806204818294,0.012383311979662498,0.08410357874646618,0.5866666666666667,0.20567569544607234
Calm / normal → Choppy high-vol sideways,29,0.012821379222115663,0.007535391057477803,0.05073191414380599,0.5517241379310345,0.25272807932639507
Bull impulse → Choppy high-vol sideways,242,0.010761551353815946,0.005530319499420955,0.08620875116261104,0.5289256198347108,0.1248313101475858
Blow-off rally / parabolic → Bull impulse,116,0.010188591837937853,-0.004373746409938484,0.0974659618585976,0.5,0.10453487190450482
Choppy high-vol sideways → Sell-off / drawdown,1553,0.008354118743866362,0.007454062082105306,0.06776594970270769,0.557630392788152,0.12327900340091537
Choppy high-vol sideways → Calm / normal,330,0.007965421799363468,0.0030140360963422097,0.052360539562472476,0.5333333333333333,0.1521264269987087
Choppy high-vol sideways → Blow-off rally / parabolic,826,0.007240716499655666,-0.003963702556361914,0.0718850628957237,0.48426150121065376,0.10072630123672607
Blow-off rally / parabolic → Calm / normal,1743,0.004938726931616512,0.0018600081530451007,0.042197832882382796,0.5272518646012622,0.11703745415984111
Blow-off rally / parabolic → Choppy high-vol sideways,985,0.0036316149981628553,9.03826137568009E-4,0.06455621529757063,0.5086294416243655,0.056255079103119596
Calm / normal → Blow-off rally / parabolic,1935,0.003560383447020981,-0.0020845666614994762,0.050326043796103885,0.47390180878552973,0.07074634082992665
Sell-off / drawdown → Bull impulse,17,0.0010402580728434713,-0.030789467431826867,0.11781249979627018,0.4117647058823529,0.00882977676089006
Calm / normal → Sell-off / drawdown,1531,4.582005974933177E-4,0.006443301029174897,0.052283238126874486,0.5558458523840627,0.008763814444342818
Blow-off rally / parabolic → Sell-off / drawdown,689,4.114977055091372E-4,0.002553156862969641,0.05616085525680492,0.5166908563134979,0.007327126761647326
Sell-off / drawdown → Blow-off rally / parabolic,773,2.861665226181814E-4,-0.006568220246372047,0.06177852716147527,0.44372574385511,0.004632135723634298
Sell-off / drawdown → Calm / normal,1424,-0.004698006516898746,-0.0018672291845684974,0.04846586224059451,0.4768258426966292,-0.09693434305525972
Sell-off / drawdown → Choppy high-vol sideways,1624,-0.008030557297834699,-0.007037870979499594,0.06960285129968317,0.458128078817734,-0.11537684373386084
