transition,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
Calm / normal → Bull impulse,50,0.12788102003280122,0.12194444508392,0.028752344222612712,1.0,4.4476728242640915
Bull impulse → Blow-off rally / parabolic,10,0.12169844096592675,0.12169844096592675,0.0,1.0,
Bull impulse → Calm / normal,50,0.04044178004509393,0.045416120358946266,0.09372274445865365,0.6,0.431504436609142
Choppy high-vol sideways → Bull impulse,1840,0.020054788546926643,-0.005943063985260455,0.0996739325628601,0.4782608695652174,0.2012039460194765
Bull impulse → Sell-off / drawdown,750,0.017298062048182943,0.012383311979662498,0.08359675644889121,0.5866666666666667,0.20692264608087407
Calm / normal → Choppy high-vol sideways,290,0.012821379222115663,0.007535391057477803,0.04993572309844843,0.5517241379310345,0.2567576561740835
Bull impulse → Choppy high-vol sideways,2420,0.01076155135381595,0.005530319499420955,0.0860482299184616,0.5289256198347108,0.12506418044872605
Blow-off rally / parabolic → Bull impulse,1160,0.010188591837937855,-0.004373746409938484,0.09708679739694909,0.5,0.1049431242054548
Choppy high-vol sideways → Sell-off / drawdown,15530,0.008354118743866356,0.007454062082105306,0.06774630961189242,0.557630392788152,0.12331474277677623
Choppy high-vol sideways → Calm / normal,3300,0.007965421799363473,0.0030140360963422097,0.0522890684051638,0.5333333333333333,0.1523343605520585
Choppy high-vol sideways → Blow-off rally / parabolic,8260,0.0072407164996556575,-0.003963702556361914,0.07184588491321742,0.48426150121065376,0.10078122787967206
Blow-off rally / parabolic → Calm / normal,17430,0.004938726931616513,0.0018600081530451007,0.04218693640133289,0.5272518646012622,0.11706768381172317
Blow-off rally / parabolic → Choppy high-vol sideways,9850,0.0036316149981628454,9.03826137568009E-4,0.0645267128745366,0.5086294416243655,0.05628079963137168
Calm / normal → Blow-off rally / parabolic,19350,0.0035603834470209787,-0.0020845666614994762,0.05031433809875697,0.47390180878552973,0.07076280005974955
Sell-off / drawdown → Bull impulse,170,0.001040258072843471,-0.030789467431826867,0.11463256498287287,0.4117647058823529,0.009074716883451878
Calm / normal → Sell-off / drawdown,15310,4.582005974933172E-4,0.006443301029174897,0.052267867484729315,0.5558458523840627,0.008766391657880169
Blow-off rally / parabolic → Sell-off / drawdown,6890,4.114977055091381E-4,0.002553156862969641,0.056124158139058425,0.5166908563134979,0.007331917647469619
Sell-off / drawdown → Blow-off rally / parabolic,7730,2.861665226181815E-4,-0.006568220246372047,0.061742547817532904,0.44372574385511,0.004634835016266034
Sell-off / drawdown → Calm / normal,14240,-0.0046980065168987575,-0.0018672291845684974,0.048450542986865165,0.4768258426966292,-0.09696499207805322
Sell-off / drawdown → Choppy high-vol sideways,16240,-0.008030557297834712,-0.007037870979499594,0.06958356093450156,0.458128078817734,-0.11540882918299927
