Date,Calm / normal,Choppy high-vol sideways,Sell-off / drawdown,Blow-off rally / parabolic,Bull impulse,total_syms,frac_calm,frac_choppy,frac_sello,frac_blowoff,frac_bull
2013-05-12,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-05-13,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-05-14,0,0,20,0,0,20,0.0,0.0,1.0,0.0,0.0
2013-05-15,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-05-16,0,10,0,10,0,20,0.0,0.5,0.0,0.5,0.0
2013-05-17,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-05-18,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-05-19,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-05-20,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-05-21,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-05-22,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-05-23,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-05-24,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-05-25,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-05-26,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-05-27,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-05-28,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-05-29,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-05-30,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-05-31,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-01,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-06-02,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-06-03,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-04,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-06-05,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-06,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-07,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-06-08,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-09,0,0,20,0,0,20,0.0,0.0,1.0,0.0,0.0
2013-06-10,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-06-11,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-12,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-13,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-14,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-06-15,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-16,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-17,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-06-18,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-06-19,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-20,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-21,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-06-22,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-23,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-06-24,0,0,20,0,0,20,0.0,0.0,1.0,0.0,0.0
2013-06-25,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-26,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-06-27,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-06-28,0,0,20,0,0,20,0.0,0.0,1.0,0.0,0.0
2013-06-29,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-06-30,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-07-01,0,10,10,0,0,20,0.0,0.5,0.5,0.0,0.0
2013-07-02,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-07-03,0,0,20,0,0,20,0.0,0.0,1.0,0.0,0.0
2013-07-04,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-07-05,0,0,20,0,0,20,0.0,0.0,1.0,0.0,0.0
2013-07-06,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-07-07,0,10,0,10,0,20,0.0,0.5,0.0,0.5,0.0
2013-07-08,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-07-09,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-07-10,0,0,0,20,0,20,0.0,0.0,0.0,1.0,0.0
2013-07-11,10,10,0,0,0,20,0.5,0.5,0.0,0.0,0.0
2013-07-12,0,10,0,10,0,20,0.0,0.5,0.0,0.5,0.0
2013-07-13,0,0,0,20,0,20,0.0,0.0,0.0,1.0,0.0
2013-07-14,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-15,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-16,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-07-17,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-18,0,0,20,0,0,20,0.0,0.0,1.0,0.0,0.0
2013-07-19,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-20,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-07-21,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-22,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-23,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-07-24,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-25,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-26,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-27,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-28,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-07-29,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-07-30,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-07-31,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-01,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-02,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-03,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-08-04,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-05,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-08-06,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-07,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-08,10,0,10,0,0,20,0.5,0.0,0.5,0.0,0.0
2013-08-09,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-10,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-11,10,0,0,10,0,20,0.5,0.0,0.0,0.5,0.0
2013-08-12,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-13,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-14,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-15,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-16,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-17,20,0,0,0,0,20,1.0,0.0,0.0,0.0,0.0
2013-08-18,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-19,10,10,0,10,0,30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-08-20,20,0,0,0,10,30,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
2013-08-21,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-22,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-08-23,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-24,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-25,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-26,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-27,10,10,0,10,0,30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-08-28,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-29,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-08-30,0,10,0,20,0,30,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
2013-08-31,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-09-01,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-02,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-09-03,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-04,0,10,10,10,0,30,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-09-05,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-06,10,0,10,10,0,30,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
2013-09-07,20,0,0,10,0,30,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
2013-09-08,30,0,0,0,0,30,1.0,0.0,0.0,0.0,0.0
2013-09-09,20,0,0,10,0,30,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
2013-09-10,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-09-11,10,0,0,20,0,30,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
2013-09-12,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-13,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-14,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-15,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-16,20,0,0,10,0,30,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
2013-09-17,20,0,0,0,10,30,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
2013-09-18,20,0,0,0,10,30,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
2013-09-19,20,0,0,0,10,30,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
2013-09-20,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-21,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-22,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-23,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-24,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-25,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-26,20,0,0,10,0,30,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
2013-09-27,10,0,0,10,10,30,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
2013-09-28,10,10,10,0,0,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2013-09-29,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-09-30,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-10-01,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-02,0,0,30,0,0,30,0.0,0.0,1.0,0.0,0.0
2013-10-03,0,10,0,20,0,30,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
2013-10-04,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-05,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-06,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-07,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-08,10,10,10,0,0,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2013-10-09,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-10,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-11,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-10-12,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-13,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-10-14,20,10,0,0,0,30,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-10-15,20,0,10,0,0,30,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
