Final schema:
root
 |-- Date: date (nullable = true)
 |-- symbol: string (nullable = true)
 |-- cluster: integer (nullable = true)
 |-- regime: string (nullable = true)


MS4B Step1 — input summary: rows=167,240, symbols=105, span=2013-05-12 → 2021-07-06
Symbols: AAVE, AAVE_x1, AAVE_x2, AAVE_x3, AAVE_x4, ADA, ADA_x1, ADA_x2, ADA_x3, ADA_x4, ATOM, ATOM_x1, ATOM_x2, ATOM_x3, ATOM_x4, BNB, BNB_x1, BNB_x2, BNB_x3, BNB_x4, BTC, BTC_x1, BTC_x2, BTC_x3, BTC_x4, CRO, CRO_x1, CRO_x2, CRO_x3, CRO_x4, DOGE, DOGE_x1, DOGE_x2, DOGE_x3, DOGE_x4, DOT, DOT_x1, DOT_x2, DOT_x3, DOT_x4, EOS, EOS_x1, EOS_x2, EOS_x3, EOS_x4, ETH, ETH_x1, ETH_x2, ETH_x3, ETH_x4, LINK, LINK_x1, LINK_x2, LINK_x3, LINK_x4, LTC, LTC_x1, LTC_x2, LTC_x3, LTC_x4, MIOTA, MIOTA_x1, MIOTA_x2, MIOTA_x3, MIOTA_x4, SOL, SOL_x1, SOL_x2, SOL_x3, SOL_x4, TRX, TRX_x1, TRX_x2, TRX_x3, TRX_x4, UNI, UNI_x1, UNI_x2, UNI_x3, UNI_x4, WBTC, WBTC_x1, WBTC_x2, WBTC_x3, WBTC_x4, XEM, XEM_x1, XEM_x2, XEM_x3, XEM_x4, XLM, XLM_x1, XLM_x2, XLM_x3, XLM_x4, XMR, XMR_x1, XMR_x2, XMR_x3, XMR_x4, XRP, XRP_x1, XRP_x2, XRP_x3, XRP_x4

Counts by regime:
+--------------------------+-----+
|regime                    |count|
+--------------------------+-----+
|Calm / normal             |78105|
|Choppy high-vol sideways  |38255|
|Sell-off / drawdown       |24605|
|Blow-off rally / parabolic|21775|
|Bull impulse              |4500 |
+--------------------------+-----+


Event check — 2020-03-12:
+-------------------+-----+
|regime             |count|
+-------------------+-----+
|Sell-off / drawdown|85   |
+-------------------+-----+


Per-coin distribution (top 3 per coin):
+--------+--------------------------+-----+
|symbol  |regime                    |count|
+--------+--------------------------+-----+
|AAVE    |Choppy high-vol sideways  |121  |
|AAVE    |Sell-off / drawdown       |59   |
|AAVE    |Blow-off rally / parabolic|39   |
|AAVE_x1 |Choppy high-vol sideways  |121  |
|AAVE_x1 |Sell-off / drawdown       |59   |
|AAVE_x1 |Blow-off rally / parabolic|39   |
|AAVE_x2 |Choppy high-vol sideways  |121  |
|AAVE_x2 |Sell-off / drawdown       |59   |
|AAVE_x2 |Blow-off rally / parabolic|39   |
|AAVE_x3 |Choppy high-vol sideways  |121  |
|AAVE_x3 |Sell-off / drawdown       |59   |
|AAVE_x3 |Blow-off rally / parabolic|39   |
|AAVE_x4 |Choppy high-vol sideways  |121  |
|AAVE_x4 |Sell-off / drawdown       |59   |
|AAVE_x4 |Blow-off rally / parabolic|39   |
|ADA     |Calm / normal             |495  |
|ADA     |Choppy high-vol sideways  |366  |
|ADA     |Sell-off / drawdown       |248  |
|ADA_x1  |Calm / normal             |495  |
|ADA_x1  |Choppy high-vol sideways  |366  |
|ADA_x1  |Sell-off / drawdown       |248  |
|ADA_x2  |Calm / normal             |495  |
|ADA_x2  |Choppy high-vol sideways  |366  |
|ADA_x2  |Sell-off / drawdown       |248  |
|ADA_x3  |Calm / normal             |495  |
|ADA_x3  |Choppy high-vol sideways  |366  |
|ADA_x3  |Sell-off / drawdown       |248  |
|ADA_x4  |Calm / normal             |495  |
|ADA_x4  |Choppy high-vol sideways  |366  |
|ADA_x4  |Sell-off / drawdown       |248  |
|ATOM    |Choppy high-vol sideways  |274  |
|ATOM    |Calm / normal             |255  |
|ATOM    |Sell-off / drawdown       |158  |
|ATOM_x1 |Choppy high-vol sideways  |274  |
|ATOM_x1 |Calm / normal             |255  |
|ATOM_x1 |Sell-off / drawdown       |158  |
|ATOM_x2 |Choppy high-vol sideways  |274  |
|ATOM_x2 |Calm / normal             |255  |
|ATOM_x2 |Sell-off / drawdown       |158  |
|ATOM_x3 |Choppy high-vol sideways  |274  |
|ATOM_x3 |Calm / normal             |255  |
|ATOM_x3 |Sell-off / drawdown       |158  |
|ATOM_x4 |Choppy high-vol sideways  |274  |
|ATOM_x4 |Calm / normal             |255  |
