Date,Calm / normal,Choppy high-vol sideways,Sell-off / drawdown,Blow-off rally / parabolic,Bull impulse,total_syms,frac_calm,frac_choppy,frac_sello,frac_blowoff,frac_bull
2013-05-12,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-05-13,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-05-14,0,0,10,0,0,10,0.0,0.0,1.0,0.0,0.0
2013-05-15,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-05-16,0,5,0,5,0,10,0.0,0.5,0.0,0.5,0.0
2013-05-17,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-05-18,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-05-19,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-05-20,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-05-21,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-05-22,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-05-23,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-05-24,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-05-25,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-05-26,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-05-27,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-05-28,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-05-29,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-05-30,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-05-31,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-01,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-06-02,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-06-03,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-04,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-06-05,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-06,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-07,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-06-08,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-09,0,0,10,0,0,10,0.0,0.0,1.0,0.0,0.0
2013-06-10,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-06-11,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-12,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-13,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-14,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-06-15,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-16,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-17,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-06-18,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-06-19,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-20,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-21,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-06-22,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-23,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-06-24,0,0,10,0,0,10,0.0,0.0,1.0,0.0,0.0
2013-06-25,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-26,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-06-27,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-06-28,0,0,10,0,0,10,0.0,0.0,1.0,0.0,0.0
2013-06-29,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-06-30,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-07-01,0,5,5,0,0,10,0.0,0.5,0.5,0.0,0.0
2013-07-02,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-07-03,0,0,10,0,0,10,0.0,0.0,1.0,0.0,0.0
2013-07-04,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-07-05,0,0,10,0,0,10,0.0,0.0,1.0,0.0,0.0
2013-07-06,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-07-07,0,5,0,5,0,10,0.0,0.5,0.0,0.5,0.0
2013-07-08,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-07-09,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-07-10,0,0,0,10,0,10,0.0,0.0,0.0,1.0,0.0
2013-07-11,5,5,0,0,0,10,0.5,0.5,0.0,0.0,0.0
2013-07-12,0,5,0,5,0,10,0.0,0.5,0.0,0.5,0.0
2013-07-13,0,0,0,10,0,10,0.0,0.0,0.0,1.0,0.0
2013-07-14,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-15,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-16,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-07-17,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-18,0,0,10,0,0,10,0.0,0.0,1.0,0.0,0.0
2013-07-19,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-20,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-07-21,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-22,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-23,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-07-24,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-25,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-26,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-27,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-28,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-07-29,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-07-30,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-07-31,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-01,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-02,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-03,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-08-04,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-05,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-08-06,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-07,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-08,5,0,5,0,0,10,0.5,0.0,0.5,0.0,0.0
2013-08-09,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-10,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-11,5,0,0,5,0,10,0.5,0.0,0.0,0.5,0.0
2013-08-12,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-13,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-14,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-15,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-16,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-17,10,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0
2013-08-18,10,5,0,0,0,15,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-19,5,5,0,5,0,15,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
2013-08-20,10,0,0,0,5,15,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
2013-08-21,10,5,0,0,0,15,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2013-08-22,10,0,5,0,0,15,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2013-08-23,10,5,0,0,0,15,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
