regime,regime_next,count,row_count,prob
Blow-off rally / parabolic,,40,21775,0.0018369690011481056
Blow-off rally / parabolic,Blow-off rally / parabolic,4060,21775,0.18645235361653273
Blow-off rally / parabolic,Bull impulse,580,21775,0.02663605051664753
Blow-off rally / parabolic,Calm / normal,8715,21775,0.4002296211251435
Blow-off rally / parabolic,Choppy high-vol sideways,4935,21775,0.22663605051664754
Blow-off rally / parabolic,Sell-off / drawdown,3445,21775,0.1582089552238806
Bull impulse,Blow-off rally / parabolic,5,4495,0.0011123470522803114
Bull impulse,Bull impulse,2880,4495,0.6407119021134594
Bull impulse,Calm / normal,25,4495,0.0055617352614015575
Bull impulse,Choppy high-vol sideways,1210,4495,0.26918798665183535
Bull impulse,Sell-off / drawdown,375,4495,0.08342602892102335
Calm / normal,,45,78095,5.762212689672835E-4
Calm / normal,Blow-off rally / parabolic,9680,78095,0.12395159741340675
Calm / normal,Bull impulse,25,78095,3.2012292720404634E-4
Calm / normal,Calm / normal,60545,78095,0.7752737051027595
Calm / normal,Choppy high-vol sideways,145,78095,0.001856712977783469
Calm / normal,Sell-off / drawdown,7655,78095,0.09802164030987899
Choppy high-vol sideways,,20,38190,5.236973029588898E-4
Choppy high-vol sideways,Blow-off rally / parabolic,4130,38190,0.10814349306101073
Choppy high-vol sideways,Bull impulse,915,38190,0.023959151610369208
Choppy high-vol sideways,Calm / normal,1650,38190,0.04320502749410841
Choppy high-vol sideways,Choppy high-vol sideways,23725,38190,0.621235925634983
Choppy high-vol sideways,Sell-off / drawdown,7750,38190,0.20293270489656978
Sell-off / drawdown,Blow-off rally / parabolic,3900,24580,0.15866558177379983
Sell-off / drawdown,Bull impulse,85,24580,0.0034580960130187145
Sell-off / drawdown,Calm / normal,7145,24580,0.29068348250610254
Sell-off / drawdown,Choppy high-vol sideways,8115,24580,0.33014646053702196
Sell-off / drawdown,Sell-off / drawdown,5335,24580,0.21704637917005695
