transition,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
Calm / normal → Bull impulse,25,0.12788102003280122,0.12194444508392,0.0290503039343269,1.0,4.402054461182154
Bull impulse → Blow-off rally / parabolic,5,0.12169844096592675,0.12169844096592675,0.0,1.0,
Bull impulse → Calm / normal,25,0.04044178004509393,0.045416120358946266,0.09469399054918984,0.6,0.4270786330848102
Choppy high-vol sideways → Bull impulse,920,0.020054788546926643,-0.005943063985260455,0.0997010436561298,0.4782608695652174,0.2011492338645508
Bull impulse → Sell-off / drawdown,375,0.017298062048182936,0.012383311979662498,0.0836526179696248,0.5866666666666667,0.20678446733686276
Calm / normal → Choppy high-vol sideways,145,0.012821379222115662,0.007535391057477803,0.050022341937352686,0.5517241379310345,0.2563130538384825
Bull impulse → Choppy high-vol sideways,1210,0.010761551353815948,0.005530319499420955,0.08606602134425255,0.5289256198347108,0.12503832738789197
Blow-off rally / parabolic → Bull impulse,580,0.01018859183793785,-0.004373746409938484,0.0971287083841794,0.5,0.10489784130185546
Choppy high-vol sideways → Sell-off / drawdown,7765,0.008354118743866355,0.007454062082105306,0.06774849100096163,0.557630392788152,0.12331077224654016
Choppy high-vol sideways → Calm / normal,1650,0.007965421799363473,0.0030140360963422097,0.05229699519493192,0.5333333333333333,0.15231127084210375
Choppy high-vol sideways → Blow-off rally / parabolic,4130,0.0072407164996556575,-0.003963702556361914,0.07185023485933063,0.48426150121065376,0.10077512639773037
Blow-off rally / parabolic → Calm / normal,8715,0.00493872693161651,0.0018600081530451007,0.042188146704616646,0.5272518646012622,0.11706432534700713
Blow-off rally / parabolic → Choppy high-vol sideways,4925,0.0036316149981628423,9.03826137568009E-4,0.06452998892423663,0.5086294416243655,0.05627794237539153
Calm / normal → Blow-off rally / parabolic,9675,0.0035603834470209774,-0.0020845666614994762,0.05031563832844465,0.47390180878552973,0.07076097144549603
Sell-off / drawdown → Bull impulse,85,0.0010402580728434748,-0.030789467431826867,0.11497322714542911,0.4117647058823529,0.009047828774325497
Calm / normal → Sell-off / drawdown,7655,4.5820059749331803E-4,0.006443301029174897,0.052269574664436325,0.5558458523840627,0.008766105338237485
Blow-off rally / parabolic → Sell-off / drawdown,3445,4.11497705509138E-4,0.002553156862969641,0.05612823204449253,0.5166908563134979,0.00733138548142664
Sell-off / drawdown → Blow-off rally / parabolic,3865,2.8616652261818134E-4,-0.006568220246372047,0.06174654241837283,0.44372574385511,0.004634535172499502
Sell-off / drawdown → Calm / normal,7120,-0.004698006516898752,-0.0018672291845684974,0.048452244408844755,0.4768258426966292,-0.09696158710949519
Sell-off / drawdown → Choppy high-vol sideways,8120,-0.008030557297834709,-0.007037870979499594,0.0695857035163977,0.458128078817734,-0.11540527568198441
