exp_id,desc,n_runs,mean_wall_s,std_wall_s,min_wall_s,max_wall_s,mean_max_rss_mb,mean_cpu_percent,speedup_vs_B0,step1_mean_s,step2_mean_s,step3_mean_s,step4_mean_s,step5_mean_s,step6_mean_s,step7_mean_s,step1_speedup_vs_B0,step2_speedup_vs_B0,step3_speedup_vs_B0,step4_speedup_vs_B0,step5_speedup_vs_B0,step6_speedup_vs_B0,step7_speedup_vs_B0
A1,AQE OFF,3,69.438,0.328,68.977,69.716,4098.79,4.12,0.57,7.196,30.597,12.402,10.355,39.069,20.779,44.333,0.72,0.50,0.78,0.70,0.24,0.93,0.77
B0,"Baseline: local[*], AQE ON, shuffle=200, broadcast=10MB, Kryo",3,39.525,0.394,39.002,39.952,3543.69,6.90,1.00,5.197,15.424,9.620,7.292,9.222,19.329,34.131,1.00,1.00,1.00,1.00,1.00,1.00,1.00
C1,No caching in analysis code,3,42.133,0.144,41.961,42.313,3381.97,6.59,0.94,5.794,15.829,9.531,7.204,8.036,18.455,31.618,0.90,0.97,1.01,1.01,1.15,1.05,1.08
G1,Whole-stage codegen OFF,3,40.411,0.146,40.212,40.559,3400.81,6.90,0.98,4.394,14.078,8.943,6.922,8.297,18.047,30.548,1.18,1.10,1.08,1.05,1.11,1.07,1.12
J1,Broadcast join OFF,3,49.623,0.658,48.755,50.346,3202.09,5.60,0.80,5.138,15.387,14.238,10.466,9.634,22.466,38.694,1.01,1.00,0.68,0.70,0.96,0.86,0.88
R1,Serializer=Java (vs Kryo),3,41.482,0.026,41.454,41.516,3460.41,6.65,0.95,5.094,15.187,9.023,6.915,8.935,18.211,31.136,1.02,1.02,1.07,1.05,1.03,1.06,1.10
S1,Shuffle partitions ↓ : 32,3,40.871,0.991,39.482,41.728,3421.15,6.84,0.97,4.816,14.430,8.895,6.600,5.933,17.975,31.369,1.08,1.07,1.08,1.10,1.55,1.08,1.09
S2,Shuffle partitions ↑ : 800,3,42.220,0.961,40.994,43.339,3328.87,6.74,0.94,5.079,15.185,9.122,6.884,7.914,18.351,31.594,1.02,1.02,1.05,1.06,1.17,1.05,1.08
X10,Scale inputs ×10 (replicate symbols),3,79.089,0.013,79.073,79.105,3572.51,3.56,0.50,2.681,11.163,8.791,7.032,5.548,21.315,28.042,1.94,1.38,1.09,1.04,1.66,0.91,1.22
X5,Scale inputs ×5 (replicate symbols),3,58.259,0.147,58.100,58.454,3332.52,4.80,0.68,2.726,9.812,6.415,5.066,4.254,14.816,20.868,1.91,1.57,1.50,1.44,2.17,1.30,1.64
